county,month,covid,retail
GUNNISON,3/1/2020,2726.4,84191
GUNNISON,4/1/2020,2823.6,102895
GUNNISON,5/1/2020,994,57042
GUNNISON,6/1/2020,473.8,87701
GUNNISON,7/1/2020,1817.5,116640
GUNNISON,8/1/2020,2195.3,149575
GUNNISON,9/1/2020,314.3,164331
GUNNISON,10/1/2020,599.8,135656
GUNNISON,11/1/2020,6064.6,120758
GUNNISON,12/1/2020,8888.4,85933
GUNNISON,1/1/2021,16272.7,103755
GUNNISON,2/1/2021,4350,107029
GUNNISON,3/1/2021,1474.9,98526
GUNNISON,4/1/2021,3155.3,124128
GUNNISON,5/1/2021,1308.8,88089
GUNNISON,6/1/2021,1446.1,90908
HINSDALE,3/1/2020,854.7,#N/A
HINSDALE,4/1/2020,1709.4,#N/A
HINSDALE,5/1/2020,0,#N/A
HINSDALE,6/1/2020,0,#N/A
HINSDALE,7/1/2020,0,#N/A
HINSDALE,8/1/2020,0,#N/A
HINSDALE,9/1/2020,0,#N/A
HINSDALE,10/1/2020,122.1,#N/A
HINSDALE,11/1/2020,6959.7,#N/A
HINSDALE,12/1/2020,4151.4,#N/A
HINSDALE,1/1/2021,1587.3,#N/A
HINSDALE,2/1/2021,854.7,#N/A
HINSDALE,3/1/2021,0,#N/A
HINSDALE,4/1/2021,0,#N/A
HINSDALE,5/1/2021,0,#N/A
HINSDALE,6/1/2021,1709.4,#N/A
HUERFANO,3/1/2020,102.2,21226
HUERFANO,4/1/2020,87.6,30341
HUERFANO,5/1/2020,116.8,23707
HUERFANO,6/1/2020,102.2,0
HUERFANO,7/1/2020,204.4,58101
HUERFANO,8/1/2020,262.8,75755
HUERFANO,9/1/2020,1488.4,68396
HUERFANO,10/1/2020,1153.2,48886
HUERFANO,11/1/2020,11205.6,60602
HUERFANO,12/1/2020,10446.6,38806
HUERFANO,1/1/2021,1547.5,37196
HUERFANO,2/1/2021,1590.5,35858
HUERFANO,3/1/2021,3034.3,#N/A
HUERFANO,4/1/2021,4027,#N/A
HUERFANO,5/1/2021,4990.2,#N/A
HUERFANO,6/1/2021,700.8,#N/A
JACKSON,3/1/2020,0,#N/A
JACKSON,4/1/2020,0,#N/A
JACKSON,5/1/2020,0,#N/A
JACKSON,6/1/2020,506.1,#N/A
JACKSON,7/1/2020,3542.7,#N/A
JACKSON,8/1/2020,506.1,#N/A
JACKSON,9/1/2020,0,#N/A
JACKSON,10/1/2020,0,#N/A
JACKSON,11/1/2020,6434.7,#N/A
JACKSON,12/1/2020,6362.5,#N/A
JACKSON,1/1/2021,7230.6,#N/A
JACKSON,2/1/2021,2747.4,#N/A
JACKSON,3/1/2021,506.1,#N/A
JACKSON,4/1/2021,2024.4,#N/A
JACKSON,5/1/2021,3542.7,#N/A
JACKSON,6/1/2021,506.1,#N/A
JEFFERSON,3/1/2020,227.3,595229
JEFFERSON,4/1/2020,1187.1,513752
JEFFERSON,5/1/2020,919.3,738742
JEFFERSON,6/1/2020,502.9,756051
JEFFERSON,7/1/2020,1360,810105
JEFFERSON,8/1/2020,1126.6,#N/A
JEFFERSON,9/1/2020,1190.3,#N/A
JEFFERSON,10/1/2020,3786.8,808171
JEFFERSON,11/1/2020,14061,873645
JEFFERSON,12/1/2020,11324.1,686686
JEFFERSON,1/1/2021,6096.9,739284
JEFFERSON,2/1/2021,3233.6,792856
JEFFERSON,3/1/2021,3553.1,691948
JEFFERSON,4/1/2021,5344.9,861539
JEFFERSON,5/1/2021,3728.4,851073
JEFFERSON,6/1/2021,813.5,759066
KIOWA,3/1/2020,0,#N/A
KIOWA,4/1/2020,0,#N/A
KIOWA,5/1/2020,0,#N/A
KIOWA,6/1/2020,0,#N/A
KIOWA,7/1/2020,0,#N/A
KIOWA,8/1/2020,0,#N/A
KIOWA,9/1/2020,501.9,#N/A
KIOWA,10/1/2020,1720.8,#N/A
KIOWA,11/1/2020,9032.7,#N/A
KIOWA,12/1/2020,25734.5,#N/A
KIOWA,1/1/2021,6666.7,#N/A
KIOWA,2/1/2021,2007.4,#N/A
KIOWA,3/1/2021,71.7,#N/A
KIOWA,4/1/2021,932.1,#N/A
KIOWA,5/1/2021,1003.8,#N/A
KIOWA,6/1/2021,0,#N/A
KIT CARSON,3/1/2020,98.1,#N/A
KIT CARSON,4/1/2020,1066.4,#N/A
KIT CARSON,5/1/2020,505,#N/A
KIT CARSON,6/1/2020,491,#N/A
KIT CARSON,7/1/2020,2202.5,#N/A
KIT CARSON,8/1/2020,1935.8,#N/A
KIT CARSON,9/1/2020,841.8,#N/A
KIT CARSON,10/1/2020,6523.8,#N/A
KIT CARSON,11/1/2020,15502.6,#N/A
KIT CARSON,12/1/2020,13369.9,#N/A
KIT CARSON,1/1/2021,6130.8,#N/A
KIT CARSON,2/1/2021,3268.6,#N/A
KIT CARSON,3/1/2021,4882.2,#N/A
KIT CARSON,4/1/2021,2104.3,#N/A
KIT CARSON,5/1/2021,2454.8,#N/A
KIT CARSON,6/1/2021,1066.3,#N/A
LA PLATA,3/1/2020,177.7,277721
LA PLATA,4/1/2020,561.4,333840
LA PLATA,5/1/2020,252.3,426615
LA PLATA,6/1/2020,295.3,478863
LA PLATA,7/1/2020,1094.6,530248
LA PLATA,8/1/2020,620.1,593072
LA PLATA,9/1/2020,272,587422
LA PLATA,10/1/2020,1432.2,551770
LA PLATA,11/1/2020,10989.3,439712
LA PLATA,12/1/2020,10715.7,384720
LA PLATA,1/1/2021,5898.2,440616
LA PLATA,2/1/2021,3159.4,457950
LA PLATA,3/1/2021,4774.9,423368
LA PLATA,4/1/2021,6159.2,545708
LA PLATA,5/1/2021,2825.5,553839
LA PLATA,6/1/2021,1106.8,534266
LAKE,3/1/2020,12.4,#N/A
LAKE,4/1/2020,1435.2,#N/A
LAKE,5/1/2020,940.2,#N/A
LAKE,6/1/2020,1880.4,#N/A
LAKE,7/1/2020,1299.4,#N/A
LAKE,8/1/2020,1274.4,#N/A
LAKE,9/1/2020,1187.7,#N/A
LAKE,10/1/2020,3922.5,#N/A
LAKE,11/1/2020,11384.4,#N/A
LAKE,12/1/2020,12473.6,#N/A
LAKE,1/1/2021,8451.4,#N/A
LAKE,2/1/2021,12844.9,#N/A
LAKE,3/1/2021,3266.5,#N/A
LAKE,4/1/2021,6607.8,#N/A
LAKE,5/1/2021,3155.3,#N/A
LAKE,6/1/2021,2363.5,#N/A
LARIMER,3/1/2020,128.3,1094444
LARIMER,4/1/2020,466.5,896404
LARIMER,5/1/2020,450.6,1302855
LARIMER,6/1/2020,260.3,1340551
LARIMER,7/1/2020,1165.9,1134726
LARIMER,8/1/2020,1135.1,1636454
LARIMER,9/1/2020,1300,1398961
LARIMER,10/1/2020,3148.5,1376187
LARIMER,11/1/2020,11845.5,1392383
LARIMER,12/1/2020,10333.4,1276387
LARIMER,1/1/2021,5858.7,1339776
LARIMER,2/1/2021,3852.4,1299215
LARIMER,3/1/2021,4100.6,1210112
LARIMER,4/1/2021,6038.7,#N/A
LARIMER,5/1/2021,3200.5,#N/A
LARIMER,6/1/2021,938.6,#N/A
LAS ANIMAS,3/1/2020,0,599625
LAS ANIMAS,4/1/2020,144.9,527000
LAS ANIMAS,5/1/2020,96.6,653751
LAS ANIMAS,6/1/2020,110.4,920234
LAS ANIMAS,7/1/2020,317.4,999116
LAS ANIMAS,8/1/2020,296.7,1164294
LAS ANIMAS,9/1/2020,393.3,1117684
LAS ANIMAS,10/1/2020,2746.2,949269
LAS ANIMAS,11/1/2020,9880.8,866227
LAS ANIMAS,12/1/2020,9535.8,#N/A
LAS ANIMAS,1/1/2021,5595.9,670084
LAS ANIMAS,2/1/2021,3946.8,856165
LAS ANIMAS,3/1/2021,1883.7,645565
LAS ANIMAS,4/1/2021,2808.3,910934
LAS ANIMAS,5/1/2021,1849.2,855890
LAS ANIMAS,6/1/2021,738.3,770724
LINCOLN,3/1/2020,88,#N/A
LINCOLN,4/1/2020,281.3,#N/A
LINCOLN,5/1/2020,0,#N/A
LINCOLN,6/1/2020,123.2,#N/A
LINCOLN,7/1/2020,246.4,#N/A
LINCOLN,8/1/2020,245.8,#N/A
LINCOLN,9/1/2020,210.7,#N/A
LINCOLN,10/1/2020,1967.6,#N/A
LINCOLN,11/1/2020,13633.1,#N/A
LINCOLN,12/1/2020,9680.2,#N/A
LINCOLN,1/1/2021,3232.4,#N/A
LINCOLN,2/1/2021,2020,#N/A
LINCOLN,3/1/2021,632.2,#N/A
LINCOLN,4/1/2021,1545.9,#N/A
LINCOLN,5/1/2021,1387.9,#N/A
LINCOLN,6/1/2021,439.1,#N/A
LOGAN,3/1/2020,127.7,#N/A
LOGAN,4/1/2020,520.2,#N/A
LOGAN,5/1/2020,1031.6,#N/A
LOGAN,6/1/2020,789.5,#N/A
LOGAN,7/1/2020,315.3,#N/A
